sample,label,F0,F1
F0V1LPS2,P,V1,0
F0V1LPS3,P,V1,0
F0V1LPS4,P,V1,0
F0V1LPS5,P,V1,0
F0V1LPS6,P,V1,0
F0V1LPS7,P,V1,0
F0V1F1V1LQS2,Q,V1,1
F0V1F1V1LQS3,Q,V1,1
F0V1F1V1LQS4,Q,V1,1
F0V1F1V1LQS5,Q,V1,1
F0V1F1V1LQS6,Q,V1,1
F0V1F1V1LQS7,Q,V1,1
F0V1F1V2LRS2,R,V1,2
F0V1F1V2LRS3,R,V1,2
F0V1F1V2LRS4,R,V1,2
F0V1F1V2LRS5,R,V1,2
F0V1F1V2LRS6,R,V1,2
F0V1F1V2LRS7,R,V1,2
F0V1F1V3LSS2,S,V1,3
F0V1F1V3LSS3,S,V1,3
F0V1F1V3LSS4,S,V1,3
F0V1F1V3LSS5,S,V1,3
F0V1F1V3LSS6,S,V1,3
F0V1F1V3LSS7,S,V1,3
F0V2LTS2,T,V2,0
F0V2LTS3,T,V2,0
F0V2LTS4,T,V2,0
F0V2LTS5,T,V2,0
F0V2LTS6,T,V2,0
F0V2LTS7,T,V2,0
F0V2F1V1LVS2,V,V2,1
F0V2F1V1LVS3,V,V2,1
F0V2F1V1LVS4,V,V2,1
F0V2F1V1LVS5,V,V2,1
F0V2F1V1LVS6,V,V2,1
F0V2F1V1LVS7,V,V2,1
F0V2F1V2LPS2,P,V2,2
F0V2F1V2LPS3,P,V2,2
F0V2F1V2LPS4,P,V2,2
F0V2F1V2LPS5,P,V2,2
F0V2F1V2LPS6,P,V2,2
F0V2F1V2LPS7,P,V2,2
F0V2F1V3LQS2,Q,V2,3
F0V2F1V3LQS3,Q,V2,3
F0V2F1V3LQS4,Q,V2,3
F0V2F1V3LQS5,Q,V2,3
F0V2F1V3LQS6,Q,V2,3
F0V2F1V3LQS7,Q,V2,3
F0V3LRS2,R,V3,0
F0V3LRS3,R,V3,0
F0V3LRS4,R,V3,0
F0V3LRS5,R,V3,0
F0V3LRS6,R,V3,0
F0V3LRS7,R,V3,0
F0V3F1V1LSS2,S,V3,1
F0V3F1V1LSS3,S,V3,1
F0V3F1V1LSS4,S,V3,1
F0V3F1V1LSS5,S,V3,1
F0V3F1V1LSS6,S,V3,1
F0V3F1V1LSS7,S,V3,1
F0V3F1V2LTS2,T,V3,2
F0V3F1V2LTS3,T,V3,2
F0V3F1V2LTS4,T,V3,2
F0V3F1V2LTS5,T,V3,2
F0V3F1V2LTS6,T,V3,2
F0V3F1V2LTS7,T,V3,2
F0V3F1V3LPS2,P,V3,3
F0V3F1V3LPS3,P,V3,3
F0V3F1V3LPS4,P,V3,3
F0V3F1V3LPS5,P,V3,3
F0V3F1V3LPS6,P,V3,3
F0V3F1V3LPS7,P,V3,3
F1V1LQS2,Q,V0,1
F1V1LQS3,Q,V0,1
F1V1LQS4,Q,V0,1
F1V1LQS5,Q,V0,1
F1V1LQS6,Q,V0,1
F1V1LQS7,Q,V0,1
F1V2LRS2,R,V0,2
F1V2LRS3,R,V0,2
F1V2LRS4,R,V0,2
F1V2LRS5,R,V0,2
F1V2LRS6,R,V0,2
F1V2LRS7,R,V0,2
F1V3LSS2,S,V0,3
F1V3LSS3,S,V0,3
F1V3LSS4,S,V0,3
F1V3LSS5,S,V0,3
F1V3LSS6,S,V0,3
F1V3LSS7,S,V0,3
