sample,label,F0,F1,F2,F3,F4,F5,F6,F7
F0V1LPS2,P,V1,V0,V0,V0,0,0,0,0
F0V1LPS3,P,V1,V0,V0,V0,0,0,0,0
F0V1LPS4,P,V1,V0,V0,V0,0,0,0,0
F0V1LPS5,P,V1,V0,V0,V0,0,0,0,0
F0V1LPS6,P,V1,V0,V0,V0,0,0,0,0
F0V1LPS7,P,V1,V0,V0,V0,0,0,0,0
F0V1F1V1LQS2,Q,V1,V1,V0,V0,0,0,0,0
F0V1F1V1LQS3,Q,V1,V1,V0,V0,0,0,0,0
F0V1F1V1LQS4,Q,V1,V1,V0,V0,0,0,0,0
F0V1F1V1LQS5,Q,V1,V1,V0,V0,0,0,0,0
F0V1F1V1LQS6,Q,V1,V1,V0,V0,0,0,0,0
F0V1F1V1LQS7,Q,V1,V1,V0,V0,0,0,0,0
F0V1F1V1F2V1LRS2,R,V1,V1,V1,V0,0,0,0,0
F0V1F1V1F2V1LRS3,R,V1,V1,V1,V0,0,0,0,0
F0V1F1V1F2V1LRS4,R,V1,V1,V1,V0,0,0,0,0
F0V1F1V1F2V1LRS5,R,V1,V1,V1,V0,0,0,0,0
F0V1F1V1F2V1LRS6,R,V1,V1,V1,V0,0,0,0,0
F0V1F1V1F2V1LRS7,R,V1,V1,V1,V0,0,0,0,0
F0V1F1V1F2V2LSS2,S,V1,V1,V2,V0,0,0,0,0
F0V1F1V1F2V2LSS3,S,V1,V1,V2,V0,0,0,0,0
F0V1F1V1F2V2LSS4,S,V1,V1,V2,V0,0,0,0,0
F0V1F1V1F2V2LSS5,S,V1,V1,V2,V0,0,0,0,0
F0V1F1V1F2V2LSS6,S,V1,V1,V2,V0,0,0,0,0
F0V1F1V1F2V2LSS7,S,V1,V1,V2,V0,0,0,0,0
F0V1F1V1F2V3LTS2,T,V1,V1,V3,V0,0,0,0,0
F0V1F1V1F2V3LTS3,T,V1,V1,V3,V0,0,0,0,0
F0V1F1V1F2V3LTS4,T,V1,V1,V3,V0,0,0,0,0
F0V1F1V1F2V3LTS5,T,V1,V1,V3,V0,0,0,0,0
F0V1F1V1F2V3LTS6,T,V1,V1,V3,V0,0,0,0,0
F0V1F1V1F2V3LTS7,T,V1,V1,V3,V0,0,0,0,0
F0V1F1V1F3V1LVS2,V,V1,V1,V0,V1,0,0,0,0
F0V1F1V1F3V1LVS3,V,V1,V1,V0,V1,0,0,0,0
F0V1F1V1F3V1LVS4,V,V1,V1,V0,V1,0,0,0,0
F0V1F1V1F3V1LVS5,V,V1,V1,V0,V1,0,0,0,0
F0V1F1V1F3V1LVS6,V,V1,V1,V0,V1,0,0,0,0
F0V1F1V1F3V1LVS7,V,V1,V1,V0,V1,0,0,0,0
F0V1F1V1F3V2LPS2,P,V1,V1,V0,V2,0,0,0,0
