sample,label,F0,F1,F2,F3,F4,F5,F6,F7
F0V1LPS3,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS4,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS5,P,V1,V0,V0,V0,8.0,0.0,0.0,0.0
F0V1LPS6,P,V1,V0,V0,V0,0.0,0.0,0.0,7.9843
F0V1LPS7,P,V1,V9,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS8,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS9,P,V1,V0,V0,V8,0.0,0.0,0.0,0.0
F0V1LPS10,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS11,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS12,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS13,P,V1,V0,V0,V4,0.0,0.0,0.0,0.0
F0V1LPS14,P,V1,V0,V0,V0,0.0,7.0115,0.0,0.0
F0V1F1V1LQS3,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS4,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS5,Q,V1,V1,V0,V0,0.0,0.0,-0.0011,0.0
F0V1F1V1LQS6,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS7,Q,V1,V1,V0,V0,0.0,0.0,8.0,0.0
F0V1F1V1LQS8,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS9,Q,V1,V1,V0,V0,0.0,4.0,0.0,0.0
F0V1F1V1LQS10,Q,V1,V1,V0,V0,0.0,0.0,-0.0174,0.0
F0V1F1V1LQS11,Q,V1,V1,V0,V0,0.0196,0.0,0.0,0.0
F0V1F1V1LQS12,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS13,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS14,Q,V1,V1,V0,V0,-0.0292,-0.0021,0.0,0.0
F0V1F1V1F2V1LRS3,R,V1,V1,V1,V0,0.0,0.0,-0.007,0.0313
F0V1F1V1F2V1LRS4,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V1LRS5,R,V1,V1,V1,V0,0.0,0.0,0.0,-0.0227
F0V1F1V1F2V1LRS6,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0316
F0V1F1V1F2V1LRS7,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V1LRS8,R,V1,V1,V1,V0,5.0,0.0,0.0,0.0
F0V1F1V1F2V1LRS9,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V1LRS10,R,V1,V1,V1,V0,0.0,-0.0061,0.0,0.0
F0V1F1V1F2V1LRS11,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V1LRS12,R,V1,V1,V1,V0,0.0,0.0,0.0,4.0
F0V1F1V1F2V1LRS13,R,V1,V1,V1,V0,0.0,0.0,0.0,-0.0048
F0V1F1V1F2V1LRS14,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS3,S,V1,V1,V2,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS4,S,V1,V1,V2,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS5,S,V1,V1,V2,V0,0.0,0.0,-0.0049,9.0
F0V1F1V1F2V2LSS6,S,V1,V1,V2,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS7,S,V1,V1,V2,V0,0.0,0.0,0.0,0.0
